index,salary_id,employer_name,location_name,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,submitted_at
0,1,opower,"san francisco, ca",systems engineer,Engineering,13.0,2.0,125000.0,5000.0,0.0,5000 shares,3/21/16 12:58
1,3,walmart,"bentonville, ar",senior developer,Software,15.0,8.0,65000.0,0.0,5000.0,"3,000",3/21/16 12:58
2,4,vertical knowledge,"cleveland, oh",software engineer,Software,4.0,1.0,86000.0,5000.0,6000.0,0,3/21/16 12:59
3,6,netapp,waltham,mts,Other,4.0,0.0,105000.0,5000.0,8500.0,0,3/21/16 13:00
4,12,apple,cupertino,software engineer,Software,4.0,3.0,110000.0,5000.0,7000.0,150000,3/21/16 13:02
5,14,casino,eastern oregon,it technician,Other,5.0,1.5,40000.0,0.0,500.0,0,3/21/16 13:03
6,16,tetra tech,"madison, wi",lead interviewer,Other,4.0,2.5,45000.0,0.0,1500.0,Unknown,3/21/16 13:03
7,17,knewton,new york city,senior software engineer,Software,8.0,2.0,135000.0,0.0,0.0,Unknown,3/21/16 13:03
8,21,amplify,nyc,software engineer,Software,2.0,1.0,105000.0,0.0,47000.0,0,3/21/16 13:04
9,23,sqor,san francisco,infrastructure/platform engineer,Engineering,1.0,1.0,80000.0,0.0,0.0,500,3/21/16 13:04
10,24,pensco trust company,"denver, co",senior software engineer,Software,10.0,1.5,120000.0,0.0,6000.0,0,3/21/16 13:04
11,25,thoughtworks,chicago,"software developer, consultant",Software,2.0,2.0,78000.0,0.0,0.0,0,3/21/16 13:04
12,30,purdue,"west lafayette, in",web developer,Web,2.0,1.5,60000.0,0.0,0.0,Unknown,3/21/16 13:05
13,34,small b2b company,minneapolis,analyst,Data,4.0,1.0,63000.0,0.0,2000.0,0,3/21/16 13:05
14,35,small b2b company,minneapolis,analyst,Data,4.0,1.0,63000.0,0.0,2000.0,0,3/21/16 13:05
15,36,sqli,bordeaux,it project manager,Management,8.0,3.0,38.0,0.0,0.0,0,3/21/16 13:05
16,37,slalom,seattle,senior engineer,Engineering,5.0,1.0,93000.0,0.0,15000.0,0,3/21/16 13:05
17,39,magento commerce,"charleston, sc",member of technical staff,Other,19.0,1.0,131000.0,0.0,0.0,80000,3/21/16 13:06
18,40,oracle,"bala cynwyd, pa",student intern co-op,Other,0.0,0.0,24.0,0.0,0.0,$0,3/21/16 13:06
19,45,klick,"toronto, canada",full stack developer,Web,5.0,3.0,85000.0,0.0,5000.0,0,3/21/16 13:06
20,46,small consulting shop,"durham, nc",developer,Software,10.0,3.5,150000.0,0.0,0.0,Unknown,3/21/16 13:06
21,47,amazon,seattle,sde1,Software,0.0,0.0,95000.0,20000.0,0.0,30000,3/21/16 13:06
22,48,nbc universal,new york,senior analyst,Data,2.0,1.5,55000.0,0.0,0.0,0,3/21/16 13:07
23,50,30 person startup,san francisco,software engineer,Software,5.0,2.0,125000.0,0.0,0.0,0,3/21/16 13:07
24,53,liveops,santa clara,sr engineer,Engineering,6.0,3.0,145000.0,0.0,20000.0,15000,3/21/16 13:07
25,55,expedia,chicago,software engineer,Software,0.0,2.5,78000.0,5000.0,4000.0,Unknown,3/21/16 13:08
26,59,quick left,boulder co,senior developer,Software,6.0,1.0,120000.0,0.0,0.0,500,3/21/16 13:08
27,60,1&1 development srl,"bucharest, romania",software developer,Software,5.0,2.0,17264.0,0.0,0.0,0,3/21/16 13:08
28,62,early-stage startup,"stockholm, sweden",ios developer,Software,8.0,0.8,36.5,0.0,0.0,0,3/21/16 13:09
29,64,rei systems,"sterling, va",associate software engineer,Software,1.0,1.0,55000.0,0.0,0.0,Unknown,3/21/16 13:09
30,69,mitsubishi hitachi power systems america,"orlando, florida",steam turbine service engineer,Engineering,4.0,1.0,80001.0,10000.0,0.0,Unknown,3/21/16 13:10
31,70,startup,"detroit, mi",senior engineer,Engineering,8.0,3.0,100000.0,0.0,0.0,80000,3/21/16 13:10
32,74,sf startup,"san francisco, ca",web developer,Web,5.0,0.5,125000.0,5000.0,10.0,Unknown,3/21/16 13:10
33,77,intel,"hillsboro, oregon",product development engineer,Software,2.5,2.5,82000.0,0.0,0.0,Unknown,3/21/16 13:11
34,79,city of austin,"austin, tx",it programmer,Other,40.0,15.0,103000.0,0.0,1500.0,0,3/21/16 13:11
35,88,early-stage startup,"denver, co",director of product,Management,5.0,3.0,80000.0,0.0,0.0,50000,3/21/16 13:11
36,89,social tables,washington dc,engineer,Engineering,2.0,1.0,80000.0,5000.0,0.0,Unknown,3/21/16 13:11
37,90,loyalty new zealand,"wellington, new zealand",software engineer,Software,2.0,2.0,50000.0,0.0,5000.0,Unknown,3/21/16 13:12
38,91,freelance,"denver, co",software engineer,Software,20.0,11.0,190000.0,0.0,0.0,0,3/21/16 13:12
39,95,.gov,"albany, ny",architect,Other,18.0,16.0,119000.0,0.0,2000.0,0,3/21/16 13:12
40,100,hedge fund,ct,investment professional,Other,10.0,3.5,500000.0,50000.0,250000.0,150000,3/21/16 13:12
41,101,twilio,san francisco,software engineer new grad,Software,1.0,1.0,115000.0,10000.0,0.0,~80k options,3/21/16 13:12
42,103,stronghold data,joplin mo,teir two tech,Other,9.0,4.0,38000.0,0.0,1000.0,0,3/21/16 13:12
43,104,self-employed,"jersey city, nj","consultant, cto as needed",Other,8.0,1.0,325000.0,0.0,0.0,0,3/21/16 13:13
44,105,employer x,phils,web developer,Web,8.0,2.0,100000.0,0.0,0.0,Unknown,3/21/16 13:13
45,106,financial sector,"bristol, uk",software analyst,Data,2.0,1.0,23000.0,0.0,500.0,0,3/21/16 13:13
46,109,comcast,"philadelphia, pa",python engineer,Engineering,5.0,1.0,138000.0,0.0,0.0,0,3/21/16 13:13
47,112,linkedin,"san jose, ca",site reliability engineer,Engineering,4.0,1.0,140000.0,0.0,14000.0,43750,3/21/16 13:13
48,114,nara logics,"cambridge, ma",software developer,Software,12.0,4.0,115000.0,0.0,0.0,Unknown,3/21/16 13:14
49,115,cloudflare,san francisco,solution eningeer,Other,0.0,0.0,83000.0,0.0,25000.0,Unknown,3/21/16 13:14
50,117,mckinsey & company,san francisco,business analyst,Data,1.5,1.5,90000.0,10000.0,22000.0,0,3/21/16 13:14
51,118,small b2b company,"barcelona, spain",system administrator,Management,10.0,10.0,1575.0,0.0,3000.0,0,3/21/16 13:14
52,120,microsoft,"redmond, wa",software engineer 1,Software,1.0,1.0,105000.0,15000.0,0.0,50000,3/21/16 13:14
53,124,nyc singles looking to fuck,new york city,horny,Other,3.0,0.5,420000.0,69.0,69.0,69,3/21/16 13:14
54,125,startup,"san francisco, ca",software engineer,Software,2.5,1.0,100000.0,0.0,0.0,Unknown,3/21/16 13:14
55,127,cornell,"ithaca, ny",phd student,Other,4.0,4.0,28500.0,0.0,0.0,0,3/21/16 13:14
56,128,microsoft,"redmond, wa",sde,Software,4.0,2.0,275000.0,0.0,2.0,Part of Annual Bonus,3/21/16 13:14
57,129,booking,amsterdam,perl developer,Software,10.0,1.0,61.7,0.0,25000.0,35k USD,3/21/16 13:15
58,130,amazon,seattle,software development engineer,Software,0.0,1.0,95000.0,22000.0,20000.0,52000,3/21/16 13:15
